date,truflation_ev_index,cobalt,copper,lithium,nickel,palladium,platinum
2026-01-01,1163.14,57545.83,5.7071,14913.14,16709.39,1689.29,2125.04
2026-01-02,1158.68,57605.56,5.7,14970.31,16790.96,1694.29,2151.09
2026-01-03,1161.47,57666.67,5.7381,15027.47,16937.31,1724.64,2211.44
2026-01-04,1181.26,57728.57,5.8603,15103.69,17090.86,1748.21,2259.09
2026-01-05,1221.13,57916.67,5.9603,15427.63,17777.03,1808.21,2333.42
2026-01-06,1222.52,58122.22,5.8905,16253.37,18213.68,1835.71,2372.18
2026-01-07,1194.64,58076.39,5.8079,16977.47,17465.13,1783.21,2258.45
2026-01-08,1198.69,58082.54,5.8444,17390.33,17359.57,1820.0,2269.89
2026-01-09,1213.32,58158.33,5.8992,17765.09,17733.84,1872.14,2297.21
2026-01-10,1217.5,58179.17,5.9373,18343.1,17801.02,1892.14,2330.25
2026-01-11,1231.3,58201.39,5.981,18940.17,17865.8,1916.43,2358.2
2026-01-12,1237.85,58209.52,5.9984,19670.62,17801.02,1919.64,2357.56
2026-01-13,1242.87,58119.44,6.0111,20597.98,18038.54,1900.71,2353.12
2026-01-14,1248.73,57972.22,5.9587,20642.45,18590.36,1883.93,2385.52
2026-01-15,1227.82,57734.72,5.8746,20235.93,18057.73,1842.14,2360.74
2026-01-16,1206.21,57347.62,5.8405,20058.08,17714.65,1820.71,2323.26
2026-01-17,1211.65,56988.89,5.881,19708.73,17844.21,1840.71,2353.12
2026-01-18,1221.41,56606.94,5.8722,19365.74,17997.76,1864.29,2375.35
2026-01-19,1214.72,56153.97,5.8167,19333.98,17928.18,1888.57,2396.95
2026-01-20,1204.82,55701.39,5.7571,19784.96,17791.42,1889.29,2456.04
2026-01-21,1206.07,55473.61,5.7794,20483.65,17954.57,1887.14,2517.03
2026-01-22,1224.19,55412.5,5.8571,21106.13,18204.09,1957.5,2640.28
2026-01-23,1246.77,55566.67,5.95,21557.1,18554.37,2030.0,2745.11
2026-01-24,1250.96,55894.44,5.9722,22014.43,18554.37,2052.14,2760.36
2026-01-25,1262.39,56262.5,5.9389,22459.05,18549.57,2106.43,2806.73
2026-01-26,1246.22,56466.67,5.8841,22281.2,18360.03,2030.71,2743.84
2026-01-27,1229.35,56493.65,5.9103,21696.84,18204.09,1954.29,2567.85
2026-01-28,1254.3,56522.22,6.0524,21455.47,18321.65,2015.36,2607.88
2026-01-29,1248.45,56516.67,5.9913,20731.37,18040.94,1868.93,2389.96
2026-01-30,1208.86,56133.33,5.8405,20121.6,17587.49,1686.07,2099.62
2026-01-31,1199.38,55326.98,5.796,19931.05,17333.18,1669.29,2083.11
2026-02-01,1185.58,54501.39,5.8524,19708.73,17098.06,1675.36,2081.84
2026-02-02,1199.24,53748.61,5.9468,19397.5,17100.46,1721.43,2143.46
2026-02-03,1209.42,53458.33,5.919,19092.61,17316.38,1745.0,2191.11
2026-02-04,1184.19,53441.27,5.827,18654.34,17186.83,1717.5,2130.12
2026-02-05,1181.82,53406.94,5.8548,17682.52,17064.47,1710.71,2079.93
2026-02-06,1187.4,53515.28,5.9048,17256.95,17141.24,1742.86,2107.25
2026-02-07,1191.86,53748.61,5.9349,17199.78,17227.61,1755.0,2132.03
2026-02-08,1200.5,53977.78,5.9444,17123.56,17321.18,1753.57,2132.66
2026-02-09,1200.22,54233.33,5.9254,17110.86,17424.35,1733.57,2104.71
2026-02-10,1203.7,54437.5,5.9127,17364.93,17712.25,1731.07,2111.06
2026-02-11,1196.04,54500.0,5.8357,17841.31,17697.86,1706.43,2095.18
