date,inr_usd
2026-01-10,0.011094
2026-01-11,0.01108
2026-01-12,0.011065
2026-01-13,0.01107
2026-01-14,0.011064
2026-01-15,0.01106
2026-01-16,0.011065
2026-01-17,0.011054
2026-01-18,0.011034
2026-01-19,0.011012
2026-01-20,0.010999
2026-01-21,0.010984
2026-01-22,0.010962
2026-01-23,0.010936
2026-01-24,0.010934
2026-01-25,0.010936
2026-01-26,0.010934
2026-01-27,0.010921
2026-01-28,0.010928
2026-01-29,0.010919
2026-01-30,0.010891
2026-01-31,0.010905
2026-02-01,0.010916
2026-02-02,0.010944
2026-02-03,0.011048
2026-02-04,0.011049
2026-02-05,0.011053
2026-02-06,0.011068
2026-02-07,0.011057
2026-02-08,0.01104
2026-02-09,0.011023
2026-02-10,0.011007
2026-02-11,0.011019
2026-02-12,0.011021
2026-02-13,0.011015
2026-02-14,0.011026
2026-02-15,0.01103
2026-02-16,0.011024
2026-02-17,0.011011
2026-02-18,0.011018
2026-02-19,0.011016
2026-02-20,0.011005
2026-02-21,0.010987
2026-02-22,0.010999
2026-02-23,0.011005
2026-02-24,0.010987
2026-02-25,0.010991
2026-02-26,0.010993
2026-02-27,0.010991
2026-02-28,0.010987
2026-03-01,0.010982
2026-03-02,0.010966
2026-03-03,0.010932
2026-03-04,0.010901
2026-03-05,0.010885
2026-03-06,0.010883
2026-03-07,0.010907
2026-03-08,0.010903
2026-03-09,0.010916
2026-03-10,0.010952
2026-03-11,0.010895
2026-03-12,0.010872
2026-03-13,0.010866
2026-03-14,0.010855
2026-03-15,0.010843
2026-03-16,0.010844
2026-03-17,0.010861
2026-03-18,0.010856
2026-03-19,0.010818
2026-03-20,0.010778
2026-03-21,0.010784
2026-03-22,0.01074
2026-03-23,0.010734
2026-03-24,0.01076
2026-03-25,0.010698
2026-03-26,0.01066
2026-03-27,0.010649
2026-03-28,0.010669
2026-03-29,0.010648
2026-03-30,0.010647
2026-03-31,0.01068
2026-04-01,0.010735
2026-04-02,0.010791
2026-04-03,0.010822
2026-04-04,0.010799
2026-04-05,0.010799
2026-04-06,0.010805
2026-04-07,0.010813
2026-04-08,0.010811
2026-04-09,0.010838
2026-04-10,0.01086
2026-04-11,0.010841
2026-04-12,0.010721
2026-04-13,0.010642
2026-04-14,0.010643
2026-04-15,0.010756
2026-04-16,0.01077
2026-04-17,0.01077
2026-04-18,0.010791
2026-04-19,0.01082
2026-04-20,0.010813
2026-04-21,0.010777
2026-04-22,0.010744
2026-04-23,0.010729
2026-04-24,0.010714
2026-04-25,0.010696
2026-04-26,0.010685
2026-04-27,0.010681
2026-04-28,0.010674
2026-04-29,0.010649
2026-04-30,0.010631
2026-05-01,0.010626
2026-05-02,0.010633
2026-05-03,0.010626
2026-05-04,0.010607
2026-05-05,0.010592
2026-05-06,0.010597
2026-05-07,0.010629
2026-05-08,0.01066
2026-05-09,0.010671
2026-05-10,0.010609
2026-05-11,0.010586
2026-05-12,0.010586
2026-05-13,0.010587
2026-05-19,0.010561
